"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed"
"588","img_pilot/83.png","ArrowLeft","image-keyboard-response","85","2.0.0","71153"
"616","img_pilot/84.png","ArrowRight","image-keyboard-response","86","2.0.0","71771"
"655","img_pilot/85.png","ArrowRight","image-keyboard-response","87","2.0.0","72430"
"599","img_pilot/86.png","ArrowLeft","image-keyboard-response","88","2.0.0","73033"
"549","img_pilot/87.png","ArrowRight","image-keyboard-response","89","2.0.0","73586"
"639","img_pilot/88.png","ArrowRight","image-keyboard-response","90","2.0.0","74229"
"681","img_pilot/89.png","ArrowRight","image-keyboard-response","91","2.0.0","74914"
"647","img_pilot/90.png","ArrowRight","image-keyboard-response","92","2.0.0","75563"
"642","img_pilot/91.png","ArrowLeft","image-keyboard-response","93","2.0.0","76209"
"592","img_pilot/92.png","ArrowRight","image-keyboard-response","94","2.0.0","76805"
"790","img_pilot/93.png","ArrowRight","image-keyboard-response","95","2.0.0","77599"
"707","img_pilot/94.png","ArrowLeft","image-keyboard-response","96","2.0.0","78310"
"671","img_pilot/95.png","ArrowRight","image-keyboard-response","97","2.0.0","78985"
"732","img_pilot/96.png","ArrowRight","image-keyboard-response","98","2.0.0","79720"
"672","img_pilot/97.png","ArrowRight","image-keyboard-response","99","2.0.0","80395"
"697","img_pilot/98.png","ArrowRight","image-keyboard-response","100","2.0.0","81096"
"692","img_pilot/99.png","ArrowLeft","image-keyboard-response","101","2.0.0","81792"
"628","img_pilot/100.png","ArrowRight","image-keyboard-response","102","2.0.0","82424"
"776","img_pilot/101.png","ArrowRight","image-keyboard-response","103","2.0.0","83202"
"737","img_pilot/102.png","ArrowLeft","image-keyboard-response","104","2.0.0","83943"
"667","img_pilot/103.png","ArrowRight","image-keyboard-response","105","2.0.0","84614"
"728","img_pilot/104.png","ArrowRight","image-keyboard-response","106","2.0.0","85346"
"821","img_pilot/105.png","ArrowLeft","image-keyboard-response","107","2.0.0","86171"
"822","img_pilot/106.png","ArrowLeft","image-keyboard-response","108","2.0.0","86997"
"682","img_pilot/107.png","ArrowRight","image-keyboard-response","109","2.0.0","87683"
"700","img_pilot/108.png","ArrowRight","image-keyboard-response","110","2.0.0","88386"
"633","img_pilot/109.png","ArrowLeft","image-keyboard-response","111","2.0.0","89023"
"757","img_pilot/110.png","ArrowLeft","image-keyboard-response","112","2.0.0","89784"
"717","img_pilot/111.png","ArrowRight","image-keyboard-response","113","2.0.0","90504"
"659","img_pilot/112.png","ArrowRight","image-keyboard-response","114","2.0.0","91167"
"775","img_pilot/113.png","ArrowRight","image-keyboard-response","115","2.0.0","91945"
"669","img_pilot/114.png","ArrowLeft","image-keyboard-response","116","2.0.0","92618"
"678","img_pilot/115.png","ArrowRight","image-keyboard-response","117","2.0.0","93300"
"607","img_pilot/116.png","ArrowLeft","image-keyboard-response","118","2.0.0","93911"
"846","img_pilot/117.png","ArrowLeft","image-keyboard-response","119","2.0.0","94761"
"682","img_pilot/118.png","ArrowRight","image-keyboard-response","120","2.0.0","95446"
"741","img_pilot/119.png","ArrowRight","image-keyboard-response","121","2.0.0","96191"
"600","img_pilot/120.png","ArrowLeft","image-keyboard-response","122","2.0.0","96794"
"648","img_pilot/121.png","ArrowRight","image-keyboard-response","123","2.0.0","97446"
"710","img_pilot/122.png","ArrowRight","image-keyboard-response","124","2.0.0","98160"
"593","img_pilot/123.png","ArrowLeft","image-keyboard-response","125","2.0.0","98758"
"646","img_pilot/124.png","ArrowRight","image-keyboard-response","126","2.0.0","99408"
"777","img_pilot/125.png","ArrowLeft","image-keyboard-response","127","2.0.0","100189"
"683","img_pilot/126.png","ArrowLeft","image-keyboard-response","128","2.0.0","100875"
"850","img_pilot/127.png","ArrowLeft","image-keyboard-response","129","2.0.0","101728"
"923","img_pilot/128.png","ArrowRight","image-keyboard-response","130","2.0.0","102656"
"658","img_pilot/129.png","ArrowRight","image-keyboard-response","131","2.0.0","103318"
"572","img_pilot/130.png","ArrowLeft","image-keyboard-response","132","2.0.0","103894"
"785","img_pilot/131.png","ArrowLeft","image-keyboard-response","133","2.0.0","104682"
"683","img_pilot/132.png","ArrowRight","image-keyboard-response","134","2.0.0","105368"
"673","img_pilot/133.png","ArrowLeft","image-keyboard-response","135","2.0.0","106045"
"891","img_pilot/134.png","ArrowRight","image-keyboard-response","136","2.0.0","106940"
"782","img_pilot/135.png","ArrowLeft","image-keyboard-response","137","2.0.0","107724"
"643","img_pilot/136.png","ArrowLeft","image-keyboard-response","138","2.0.0","108370"
"873","img_pilot/137.png","ArrowRight","image-keyboard-response","139","2.0.0","109247"
"783","img_pilot/138.png","ArrowRight","image-keyboard-response","140","2.0.0","110032"
"810","img_pilot/139.png","ArrowLeft","image-keyboard-response","141","2.0.0","110845"
"784","img_pilot/140.png","ArrowRight","image-keyboard-response","142","2.0.0","111633"
"681","img_pilot/141.png","ArrowLeft","image-keyboard-response","143","2.0.0","112317"
"922","img_pilot/142.png","ArrowRight","image-keyboard-response","144","2.0.0","113243"
"665","img_pilot/143.png","ArrowRight","image-keyboard-response","145","2.0.0","113911"
"908","img_pilot/144.png","ArrowRight","image-keyboard-response","146","2.0.0","114823"
"732","img_pilot/145.png","ArrowLeft","image-keyboard-response","147","2.0.0","115560"
"658","img_pilot/146.png","ArrowRight","image-keyboard-response","148","2.0.0","116221"
"1109","img_pilot/147.png","ArrowRight","image-keyboard-response","149","2.0.0","117335"
"526","img_pilot/148.png","ArrowLeft","image-keyboard-response","150","2.0.0","117865"
"649","img_pilot/149.png","ArrowRight","image-keyboard-response","151","2.0.0","118516"
"661","img_pilot/150.png","ArrowRight","image-keyboard-response","152","2.0.0","119180"
"710","img_pilot/151.png","ArrowRight","image-keyboard-response","153","2.0.0","119893"
"750","img_pilot/152.png","ArrowLeft","image-keyboard-response","154","2.0.0","120647"
"752","img_pilot/153.png","ArrowLeft","image-keyboard-response","155","2.0.0","121402"
"646","img_pilot/154.png","ArrowLeft","image-keyboard-response","156","2.0.0","122051"
