"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed"
"0","img_pilot_folder/0.png","ArrowRight","image-keyboard-response","2","2.0.0","2885"
"138","img_pilot_folder/1.png","ArrowLeft","image-keyboard-response","3","2.0.0","3027"
"283","img_pilot_folder/2.png","ArrowRight","image-keyboard-response","4","2.0.0","3314"
"130","img_pilot_folder/3.png","ArrowLeft","image-keyboard-response","5","2.0.0","3448"
"227","img_pilot_folder/4.png","ArrowRight","image-keyboard-response","6","2.0.0","3679"
"118","img_pilot_folder/5.png","ArrowLeft","image-keyboard-response","7","2.0.0","3802"
